Species_960	Species_40	2.50056
Species_960	Species_28	2.49488
Species_960	Species_6	2.40694
Species_960	Species_48	2.39028
Species_960	Species_75	2.17823
Species_960	Species_50	2.08766
Species_960	Species_14	1.97499
Species_960	Species_70	1.93277
Species_960	Species_12	1.72023
Species_960	Species_32	1.56865
Species_960	Species_47	1.40302
Species_960	Species_58	1.32814
Species_960	Species_74	1.32091
Species_960	Species_76	1.29872
Species_960	Species_91	1.12271
Species_960	Species_23	1.04992
Species_960	Species_10	0.881457
Species_960	Species_41	0.879326
Species_960	Species_39	0.831339
Species_960	Species_92	0.760832
Species_960	Species_90	0.661569
Species_960	Species_3	0.5867
Species_960	Species_24	0.558992
Species_960	Species_88	0.554785
Species_960	Species_93	0.52229
Species_960	Species_59	0.486871
Species_960	Species_43	0.456914
Species_960	Species_69	0.403056
Species_960	Species_30	0.328937
Species_960	Species_63	0.315088
Species_960	Species_89	0.186272
Species_960	Species_4	0.155134
Species_960	Species_11	0.146514
Species_960	Species_8	0.135148
Species_960	Species_97	0.129168
Species_960	Species_51	0.113377
Species_960	Species_13	0.112135
Species_960	Species_53	0.0673162
Species_960	Species_9	0.0276585
Species_960	Species_20	0.0262703
Species_960	Species_49	0.00838107
Species_960	Species_16	-0.000975642
Species_960	Species_2	-0.029931
Species_960	Species_87	-0.0480134
Species_960	Species_45	-0.0571812
Species_960	Species_83	-0.0771103
Species_960	Species_65	-0.0772305
Species_960	Species_31	-0.103089
Species_960	Species_17	-0.108671
Species_960	Species_66	-0.139433
Species_960	Species_82	-0.153976
Species_960	Species_78	-0.163164
Species_960	Species_62	-0.17336
Species_960	Species_21	-0.244834
Species_960	Species_73	-0.271375
Species_960	Species_85	-0.274759
Species_960	Species_80	-0.296705
Species_960	Species_94	-0.299221
Species_960	Species_0	-0.309736
Species_960	Species_68	-0.323844
Species_960	Species_7	-0.360955
Species_960	Species_81	-0.365182
Species_960	Species_61	-0.375108
Species_960	Species_98	-0.434786
Species_960	Species_19	-0.442989
